Ticker,Sector,Date,Close,Annualized_Return_1Y,Annualized_Vol_252D,Beta_IHSG,Sharpe_Ratio,Max_Drawdown_1Y,GARCH_Vol,VaR_95_1D,VaR_99_1D,ES_95_1D,GARCH_Model,Pivot_Point,Support_1,Resistance_1,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Debt_to_Equity,Current_Ratio
SILO.JK,Healthcare,2026-09-18,1960.0,-0.10909090909090913,0.3675904751893655,1.0,-0.45999681848933416,-0.5079999999998646,0.3471,3.05,5.79,4.94,garch-t,2003.3333333333333,1986.6666666666665,2011.6666666666665,20.575268,2.476023,0.13108,,0.23241,0.722
SMDR.JK,Transportation & Logistics,2026-09-18,394.0,0.2548779320248924,0.46272857215792124,1.0,0.4211486443714561,-0.4196428126653194,0.4125,4.27,6.05,5.36,ewma_unhealthy_guard,395.3333333333333,390.66666666666663,402.66666666666663,7.4074078,1.1939394,0.10326,3.05,0.67026,2.31
SMGR.JK,General,2026-09-18,1550.0,-0.4337031876138271,0.5033456148621002,1.0,-0.9808413785579643,-0.5572266595745781,0.5477,5.29,9.3,7.96,garch-t,1608.3333333333333,1591.6666666666665,1636.6666666666665,27.698357,0.23974161,0.0073100002,1.83,0.16849,1.054
SMRA.JK,Properties & Real Estate,2026-09-18,278.0,-0.3659716776446772,0.3466928741743715,1.0,-1.228668024951697,-0.46226413427869445,0.4655,4.78,7.67,6.63,garch-t,291.3333333333333,286.66666666666663,294.66666666666663,7.709373,0.38587153,0.06781,1.8,0.91979,1.088
SMSM.JK,Industrials,2026-09-18,1720.0,-0.051147274047771085,0.1849001065418321,1.0,-0.6011174087950906,-0.19014631454897765,0.175,1.67,2.88,2.46,garch-t,1711.6666666666667,1703.3333333333335,1718.3333333333335,8.643216,2.4708738,0.28834,9.3,0.0358,4.391
TBIG.JK,Infrastructures,2026-09-18,1470.0,-0.17830383237677672,0.5054720098928642,1.0,-0.471447194435338,-0.5355871983638846,0.3112,3.22,4.56,4.04,ewma_unhealthy_guard,1438.3333333333333,1416.6666666666665,1451.6666666666665,22.88294,2.5679097,0.1245,3.2,2.2083500000000003,0.161
TLKM.JK,Infrastructures,2026-09-18,2560.0,-0.10396553461181102,0.43983852331860357,1.0,-0.3727849043093847,-0.4035532984717067,0.2839,2.77,4.69,4.02,garch-t,2606.6666666666665,2573.333333333333,2623.333333333333,14.367495,2.1326864,0.17683001,8.72,0.59982,0.791
TOWR.JK,Infrastructures,2026-09-18,414.0,-0.28838075782314454,0.3918605973199398,1.0,-0.8890403147586448,-0.5242321758119068,0.4763,4.51,8.1,6.93,garch-t,440.6666666666667,437.33333333333337,445.33333333333337,6.0864453,0.8381449,0.16139999,3.33,1.56508,0.204
TPIA.JK,Basic Materials,2026-09-18,1835.0,-0.7732499802397417,0.8425930040067966,1.0,-0.9889104079513726,-0.8757358978673819,0.444,4.6,6.51,5.77,ewma_unhealthy_guard,1833.3333333333333,1806.6666666666665,1856.6666666666665,129.86554,3.9891305,0.03923,33.0,1.19069,2.298
UNTR.JK,Industrials,2026-09-18,24825.0,-0.0059723462545301365,0.3821437957213649,1.0,-0.17263703965926275,-0.33480198035822534,0.343,3.1,5.68,4.84,garch-t,25933.333333333332,25466.666666666664,26166.666666666664,11.737089,0.9236388,0.07437,8.83,0.27593,1.237
UNVR.JK,Consumer Non-Cyclicals,2026-09-18,1650.0,0.08075209369332614,0.4595029337479625,1.0,0.04516195002741511,-0.4638988986931977,0.288,2.64,4.92,4.22,garch-t,1631.6666666666667,1623.3333333333335,1648.3333333333335,16.835016,20.73177,1.3336799,13.82,0.18102,0.571
