Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Sector,Log_Return,Return_1D,Return_5D,Return_20D,SMA_10,SMA_20,SMA_50,SMA_200,Dist_SMA_20,Dist_SMA_50,Dist_SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,Volatility_20D,Bollinger_Upper,Bollinger_Lower,Volume_SMA_20,Volume_Ratio,MFI_14,CMF_20,Pivot_Point,Support_1,Support_2,Resistance_1,Resistance_2,Annualized_Return_1Y,Annualized_Vol_252D,Max_Drawdown_1Y,Beta_IHSG,Sharpe_Ratio,GARCH_Vol,VaR_95_1D,VaR_99_1D,ES_95_1D,GARCH_Model,Target_Return_5D,Target_Class_5D,PE_Ratio,PB_Ratio,ROE,ROA,Profit_Margin,Operating_Margin,Dividend_Yield,Market_Cap,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Float_Ratio,Free_Cashflow,Operating_Cashflow,Log_Market_Cap,GBDT_Prob,ARIMA_Prob,ARIMA_Expected_Return,LSTM_Prob,Bullish_Probability,Conviction_Score,Recommendation,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,ATR_14,Dividend_Score
2026-09-21,UNVR.JK,1650.0,1655.0,1620.0,1620.0,1620.0,9360200,Consumer Non-Cyclicals,-0.0183491386681965,-0.0181818181818181,0.0,-0.0999999999999999,1641.0,1686.0,1720.9,1878.4810687255856,-0.0391459074732863,-0.0586321111046205,-0.1376011039072164,1652.987747586112,1685.9007270064926,-32.91297942038068,-27.6313940713382,-5.28158534904248,26.31578947174515,0.1567708417184211,1798.745638263065,1573.254361736935,19930640.0,0.4696387070360008,16.77262829893857,0.0470718431574329,1640.0,1630.0,1610.0,1660.0,1670.0,0.0867479548302039,0.4592437553458465,-0.4638988986931977,1.0,0.0582433539389266,0.3044,2.8,5.2,4.46,garch-t,,,16.528925,20.354828,1.3336799,0.1658,0.25577998,0.12069,14.07,61529596624896.0,-0.093,0.18102,0.571,0.329,0.1463,1525940617216.0,4480197197824,31.7505394209126,0.4482,0.4668,-0.0053,0.4612,0.4558,0.04420000000000002,SELL ON STRENGTH,1620,1660,1595,1.6,24.29,49.459897500000004
2026-09-21,SIDO.JK,354.0,360.0,352.0,356.0,356.0,54033200,Consumer Non-Cyclicals,0.005633817718256,0.0056497175141243,0.0229885057471264,0.0171428571428571,351.8,352.6,359.64,448.59155517578125,0.0096426545660531,-0.0101212323434263,-0.2064050339496309,352.51993111532386,353.9995369408851,-1.4796058255612363,-2.286425483702186,0.8068196581409492,47.36842103518005,0.1526863262895427,359.8373301272416,345.36266987275843,25005555.0,2.160847859605596,50.92905105011012,0.0265403027437779,352.0,350.0,346.0,356.0,358.0,-0.2868480925244486,0.2328912814719029,-0.3692389516802469,1.0,-1.4893069462514317,0.2594,2.47,4.44,3.8,garch-t,,,10.928284,3.4592896,0.30396998,0.21643999,0.25887,0.274,10.51,10361190219776.0,-0.493,0.00053,7.523,4.764,0.2086,956948217856.0,1205337063424,29.96908823223975,0.4759,0.5,-0.0,0.4613,0.4764,0.02360000000000001,HOLD,356,366,346,1.0,5.14,23.7105995
2026-09-21,SMSM.JK,1720.0,1720.0,1690.0,1700.0,1700.0,3862400,Industrials,-0.0116960397631912,-0.0116279069767442,-0.0173410404624277,-0.0229885057471264,1733.0,1727.5,1722.413486328125,1698.0222521972655,-0.0159189580318287,-0.0130128372228978,0.0011647360923415,1724.0309270891084,1724.4343750361347,-0.4034479470262795,4.805342801928824,-5.208790748955104,45.71428571062857,0.1406769760319492,1766.0937000584522,1688.9062999415478,3704515.0,1.0426196141735151,58.87910619039048,-0.1454546585084034,1715.0,1710.0,1700.0,1725.0,1730.0,-0.0597317834679722,0.1852415288298207,-0.1901463145489776,1.0,-0.6463514843179875,0.1781,1.7,2.94,2.51,garch-t,,,8.438819,2.4134116,0.28834,0.17853001,0.21077,0.27942,9.52,9674574266368.0,0.139,0.0358,4.391,2.6,0.4143,963919151104.0,1086143004672,29.90052235040004,0.4852,0.495,-0.0008,0.4612,0.48,0.020000000000000018,HOLD,1700,1750,1650,1.0,25.36,22.837500000000002
2026-09-21,MPMX.JK,1030.0,1035.0,1020.0,1020.0,1020.0,2074800,General,-0.0097561749453646,-0.0097087378640776,-0.0048780487804878,0.0049261083743843,1033.0,1028.0,1009.5,896.0450967407227,-0.0077821011673076,0.0104011887072705,0.1383355633661887,1028.2185251476733,1022.1632921295663,6.0552330181069465,8.751360264865703,-2.6961272467587563,49.999999993,0.1281569851696497,1052.5806941790345,1003.4193058209656,3355075.0,0.6184064439692106,54.04253956359546,0.1415950817742987,1028.3333333333333,1021.6666666666664,1013.3333333333331,1036.6666666666663,1043.3333333333333,0.276491213490369,0.1451144915329524,-0.0686356396509453,1.0,1.491854599418896,0.1378,1.31,2.28,1.95,garch-t,,,8.59878,0.79988146,0.09101,0.05134,0.0327,0.040900003,16.75,4445520789504.0,0.497,0.00915,1.609,1.096,0.3373,312379736064.0,797965025280,29.1229181410244,0.4592,0.4912,-0.0014,0.461,0.4661,0.033899999999999986,HOLD,1020,1050,990,1.0,16.79,20.581999999999997
2026-09-21,AUTO.JK,3360.0,3410.0,3360.0,3370.0,3370.0,2124300,Industrials,0.0029717703891574,0.0029761904761904,0.0150602409638553,0.0870967741935484,3336.0,3329.5,2982.6,2621.7898181152345,0.0121639885868712,0.1298866760544056,0.2853814507611282,3326.6767099537465,3221.677325567399,104.99938438634764,126.77280999835236,-21.773425612004743,46.666666664488886,0.2624471943806409,3491.263309873056,3167.7366901269443,4977900.0,0.4267462182848188,37.06442573440098,-0.0739334425407675,3370.0,3320.0,3280.0,3410.0,3460.0,0.5148411084492313,0.3083743977497273,-0.1583132920839407,1.0,1.4749591302298803,0.2302,2.39,3.37,2.99,ewma_unhealthy_guard,,,6.7068543,1.0127312,0.15295,0.03424,0.11416,0.050819997,6.82,16194303164416.0,0.367,0.03433,2.025,1.403,0.2,276793884672.0,1612079038464,30.415680639803703,0.4724,0.5196,0.0031,0.461,0.4784,0.021600000000000008,HOLD,3370,3470,3270,1.0,65.71,18.3401
2026-09-21,BMRI.JK,4260.0,4270.0,4200.0,4200.0,4200.0,74720000,Financials,-0.0141846349919564,-0.0140845070422535,-0.0394466097544142,0.0154422396394575,4299.959033203125,4267.28369140625,4201.1962890625,4266.143497314453,-0.0157673349774552,-0.0002847496237236,-0.0155042832844406,4276.451063230565,4245.010047649915,31.441015580649943,44.249994603378525,-12.80897902272858,46.36224413943725,0.2194366913794911,4440.041025131561,4094.5263576809393,133165850.0,0.5611048177892455,47.35875409923228,0.1034526749367361,4286.666666666667,4223.333333333334,4186.666666666667,4323.333333333334,4386.666666666667,0.0989922199435862,0.3120920773218287,-0.4016845785965848,1.0,0.1249377918862892,0.2813,2.74,4.5,3.87,garch-t,,,6.2344513,1.3642855,0.22378999,0.02623,0.43377998,0.60428,13.05,386769086316544.0,0.336,,,,0.4078,,-292997803540480,33.58884895469161,0.524,0.4988,-0.0002,0.4612,0.5001,9.999999999998899e-05,HOLD,4200,4330,4070,1.0,87.14,18.317249750000002
2026-09-21,ITMG.JK,26700.0,26700.0,26125.0,26125.0,26125.0,915600,Energy,-0.0217708551212287,-0.0215355805243445,-0.0009560229445506,0.0285433070866141,26337.5,26100.0,25183.5,23570.15046875,0.0009578544061302,0.0373855897710787,0.1083934332382471,26236.806022841243,25862.976892919483,373.8291299217599,426.6241055794396,-52.79497565767974,52.33644859785693,0.1639285545982103,26941.05197286437,25258.948027135622,1593900.0,0.5744400527009219,44.86804937660234,-0.0777870792257975,26575.0,26450.0,26200.0,26825.0,26950.0,0.2621020642011391,0.2731064794869219,-0.2457458494093282,1.0,0.7400092614849716,0.2148,1.95,3.53,3.01,garch-t,,,7.4738417,1.468369,0.111190006,0.07141,0.10496,0.12782,6.84,28206946058240.0,1.004,0.052,3.458,2.875,0.3276,203206128.0,66597000,30.970589377664258,0.5136,0.531,0.005,0.4612,0.5013,0.0012999999999999678,HOLD,26125,26900,25350,1.0,517.86,17.78825015
2026-09-21,ACES.JK,348.0,352.0,342.0,346.0,346.0,12709400,Consumer Cyclicals,-0.0114943794257351,-0.0114285714285714,-0.0225988700564971,-0.0388888888888888,352.0,354.3,354.36,352.9364437866211,-0.0234264747388557,-0.0235918275199695,-0.0196535209347638,352.0074979090525,353.2633277727276,-1.2558298636751033,-0.1534017217410702,-1.1024281419340332,37.49999998359375,0.1487490845067031,362.00782241129554,346.5921775887045,20179370.0,0.6298214463583353,35.284587002151554,0.1362103061709171,349.3333333333333,346.66666666666663,343.3333333333333,352.66666666666663,355.3333333333333,-0.122312394611869,0.2744249226891203,-0.5262924935846962,1.0,-0.6643410098629757,0.2219,2.2,3.84,3.3,garch-t,,,7.6164875,0.9146546,0.121199995,0.06339,0.086,0.07775,9.41,5820932685824.0,0.499,0.15331,4.945,1.664,0.3999,647378763776.0,1228204277760,29.392481620128606,0.4648,0.4911,-0.0014,0.4612,0.469,0.031000000000000028,HOLD,346,356,336,1.0,7.43,17.752449875
2026-09-21,PTBA.JK,3090.0,3100.0,3030.0,3080.0,3080.0,15402900,Energy,-0.0032414939241709,-0.0032362459546925,0.0,0.2419354838709677,3071.0,2868.5,2576.6,2529.21416015625,0.0737319156353237,0.1953737483504637,0.2177695540853313,3001.6883980279645,2834.2370935328536,167.4513044951109,161.87774416910045,5.573560326010437,76.62337662198347,0.3862789484806448,3373.26779445182,2363.7322055481804,52372095.0,0.2941050954711665,79.83799133078038,-0.0123553835476846,3106.6666666666665,3063.333333333333,3036.6666666666665,3133.333333333333,3176.6666666666665,0.3431795920105618,0.3014029579563015,-0.2528748655073965,1.0,0.9395350808618712,0.3431,3.01,5.71,4.88,garch-t,,,7.304584,1.3739091,0.21109,0.06779,0.107329994,0.14992,3.8,34658217623552.0,3.188,0.11782,1.206,0.893,0.328,2637183844352.0,8662679027712,31.17655597429914,0.4386,0.5,0.0,0.461,0.4576,0.04239999999999999,SELL ON STRENGTH,3080,3200,2960,1.0,116.43,17.64815
2026-09-21,NRCA.JK,585.0,585.0,560.0,560.0,560.0,5824100,General,-0.0436750635026615,-0.0427350427350426,0.018181818181818,-0.026086956521739,561.5,572.75,534.84,733.5014924621582,-0.0222610213880012,0.0470421060503195,-0.2365387040720612,566.5740668843046,557.8822522573846,8.69181462691995,11.164660232835857,-2.4728456059159054,41.0256410226956,0.597439933162465,614.6112998012484,530.8887001987516,8806010.0,0.6613778544425908,41.144457842574525,0.0598192765997797,585.0,555.0,525.0,615.0,645.0,-0.1946144475970165,0.9745563945096336,-0.8074973953773896,1.0,-0.2612616240269055,0.6446,6.68,9.45,8.38,ewma_unhealthy_guard,,,7.272247,1.0097172,0.14822,0.06313,0.053150002,0.08538,7.27,1372942106624.0,0.482,0.24898,1.779,1.753,0.2105,16752466944.0,62690533376,27.947977076220145,0.4827,0.5543,0.0087,0.4613,0.4906,0.00940000000000002,HOLD,560,615,545,3.67,30.0,17.633599999999998
