Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Sector,Log_Return,Return_1D,Return_5D,Return_20D,SMA_10,SMA_20,SMA_50,SMA_200,Dist_SMA_20,Dist_SMA_50,Dist_SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,Volatility_20D,Bollinger_Upper,Bollinger_Lower,Volume_SMA_20,Volume_Ratio,MFI_14,CMF_20,Pivot_Point,Support_1,Support_2,Resistance_1,Resistance_2,Annualized_Return_1Y,Annualized_Vol_252D,Max_Drawdown_1Y,Beta_IHSG,Sharpe_Ratio,GARCH_Vol,VaR_95_1D,VaR_99_1D,ES_95_1D,GARCH_Model,Target_Return_5D,Target_Class_5D,PE_Ratio,PB_Ratio,ROE,ROA,Profit_Margin,Operating_Margin,Dividend_Yield,Market_Cap,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Float_Ratio,Free_Cashflow,Operating_Cashflow,Log_Market_Cap,GBDT_Prob,ARIMA_Prob,ARIMA_Expected_Return,LSTM_Prob,Bullish_Probability,Conviction_Score,Recommendation,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,ATR_14
2026-09-21,BBCA.JK,6300.0,6300.0,6225.0,6225.0,6225.0,69914100,Financials,-0.0119761910467156,-0.0119047619047618,-0.0423076923076922,-0.0311429834698194,6405.0,6471.303076171875,6376.837822265625,6651.7767578125,-0.0380608160787206,-0.0238108332840828,-0.0641598137386657,6393.451726412547,6409.248862928364,-15.797136515817328,28.678329742050405,-44.47546625786774,34.693877550623895,0.2201048653444849,6784.635423224793,6157.970729118956,124304765.0,0.562441029513229,38.158968870919885,-0.1055936107047272,6291.666666666667,6233.333333333334,6166.666666666667,6358.333333333334,6416.666666666667,-0.1472973470090729,0.3378462640896604,-0.4746618959734947,1.0,-0.6135830271339975,0.232,2.33,3.75,3.24,garch-t,,,13.140604,2.8162463,0.21818,0.03671,0.53118,0.66751,6.15,761618833080320.0,0.004,,,,0.3924,,-21951307317248,34.26646732740921,0.5195,0.496,-0.0006,0.4612,0.4973,0.00269999999999998,HOLD,6225,6400,6050,1.0,157.14
2026-09-21,ISAT.JK,2390.0,2390.0,2290.0,2310.0,2310.0,47932000,Infrastructures,-0.0256424306133376,-0.0253164556962025,-0.0294117647058823,-0.1216730038022814,2377.0,2421.5,2241.4,2108.2873699951174,-0.0460458393557522,0.0306058713304047,0.0956760605198019,2380.486014492036,2367.866352010637,12.619662481398336,39.129862453032224,-26.510199971633888,39.9999999986,0.387539459064951,2593.3352944568987,2249.6647055431013,65666625.0,0.7299293971633231,41.916610015079655,-0.245117495823663,2366.6666666666665,2343.333333333333,2316.6666666666665,2393.333333333333,2416.6666666666665,0.3100031844047239,0.5206187933566356,-0.3934967605482513,1.0,0.480202995727184,0.356,3.41,5.9,5.05,garch-t,,,10.38435,2.097834,0.20238,0.059559997,0.124589995,0.21242,4.61,77724454486016.0,1.751,1.76375,0.665,0.502,0.2596,9526061301760.0,23738630275072,31.98419105333495,0.516,0.5008,0.0001,0.4612,0.4965,0.003500000000000003,HOLD,2310,2390,2240,1.14,97.86
2026-09-21,ADRO.JK,2660.0,2660.0,2600.0,2620.0,2620.0,28553500,Energy,-0.0076045993852193,-0.0075757575757575,0.0,0.0274509803921567,2643.0,2673.5,2576.8,2260.466188964844,-0.0200112212455507,0.0167649798199251,0.1590529479229423,2643.71842024794,2626.929724768964,16.788695478976024,31.65511513971217,-14.866419660736142,33.999999999048,0.3875959120278829,2798.6987892994352,2548.3012107005648,52880525.0,0.5399624909170248,51.6226140310325,-0.0560027484225233,2666.6666666666665,2613.333333333333,2586.6666666666665,2693.333333333333,2746.6666666666665,0.7274817503237765,0.3826964767934559,-0.3268710992720908,1.0,1.7441498593522746,0.3636,3.32,6.02,5.13,garch-t,,,7.278102,1.63125,0.123380005,0.06007,0.28888,0.42203,9.06,75169284489216.0,0.891,0.3782399999999999,2.918,2.249,0.368,-271952000.0,218046000,31.95076381250426,0.5095,0.5135,0.0022,0.4612,0.4958,0.0041999999999999815,HOLD,2620,2700,2540,1.0,77.14
2026-09-21,UNTR.JK,25125.0,25200.0,24600.0,24700.0,24700.0,2826000,Industrials,-0.0050479662973048,-0.0050352467270896,-0.0643939393939394,0.0238341968911917,25835.0,25258.75,24931.0,26593.43013671875,-0.0221210471618737,-0.0092655729814283,-0.0711991693807236,25439.003282005717,25136.267059913826,302.73622209189125,405.1803962660647,-102.44417417417344,40.11299435015557,0.3158005707741295,26942.282861197727,23575.217138802276,4364095.0,0.64755693906755,43.862685531585335,-0.2729201168194034,25183.33333333333,24466.666666666664,24108.33333333333,25541.666666666664,26258.33333333333,-0.0382483075196169,0.3811412189700507,-0.3348019803582253,1.0,-0.2577733523856538,0.3244,2.93,5.37,4.57,garch-t,,,11.507493,0.90503585,0.07437,0.051599998,0.06308,0.06849,9.01,84969502277632.0,-0.934,0.27593,1.237,0.809,0.3644,6798736097280.0,18528755253248,32.073313511302175,0.5125,0.4808,-0.0031,0.4612,0.4908,0.009199999999999986,HOLD,24700,25550,23950,1.13,680.36
2026-09-21,HEXA.JK,4140.0,4140.0,4010.0,4080.0,4080.0,1333900,Industrials,-0.0048899852941917,-0.0048780487804878,-0.0852017937219731,-0.0577367205542724,4358.0,4397.0,4427.4,4416.85,-0.0720946099613208,-0.0784659167908752,-0.0762647588213147,4316.439871662351,4375.86845450594,-59.42858284358863,-14.94932494171604,-44.479257901872586,9.80392156835832,0.2552966931796157,4672.0770227067605,4121.92297729324,842835.0,1.5826347980328277,8.742923036987548,-0.1620406672569598,4106.666666666667,4033.333333333334,3966.666666666667,4173.333333333334,4246.666666666667,-0.2479226119510589,0.2015523091732831,-0.2916264818547691,1.0,-1.5277477368844683,0.252,2.61,3.69,3.28,ewma_unhealthy_guard,,,13.333333,2.0,0.0805,0.031070001,0.027679998,0.06268,10.62,3393600094208.0,-0.287,0.52164,1.648,0.57,0.186,81517904.0,102689528,28.85291244851732,0.5112,0.4711,-0.0046,0.4621,0.4885,0.01150000000000001,HOLD,4080,4200,3960,1.0,77.14
2026-09-21,ANTM.JK,3340.0,3370.0,3230.0,3240.0,3240.0,108664300,Basic Materials,-0.030397477184371,-0.029940119760479,0.0156739811912225,0.0156739811912225,3236.0,3180.5,3088.4,3234.563493652344,0.018707750353712,0.0490869058411963,0.0016807542527216,3225.8738626045542,3168.818782627431,57.05507997712312,49.8890381697269,7.166041807396212,59.302325580429965,0.3172325413750065,3345.867214977681,3015.132785022319,113440915.0,0.9578933667804072,62.655452540725584,0.0749343898344148,3313.333333333333,3276.666666666667,3213.333333333333,3376.666666666667,3413.333333333333,-0.0499837607916286,0.5466222218864071,-0.4684874150785499,1.0,-0.2012057965852103,0.3545,3.67,5.2,4.61,ewma_unhealthy_guard,,,8.748931,2.0439363,0.26827,0.11491,0.100760005,0.11577,6.62,76177528061952.0,0.162,0.15598,1.991,0.894,0.35,-1307682668544.0,1826162999296,31.96408762780397,0.4905,0.5225,0.0036,0.4612,0.4881,0.011900000000000022,HOLD,3240,3380,3140,1.4,110.0
2026-09-21,ASII.JK,4830.0,4870.0,4810.0,4820.0,4820.0,23075000,Consumer Cyclicals,0.0,0.0,-0.0321285140562248,0.0062630480167014,4882.0,4870.0,4918.8,5611.389936523437,-0.0102669404517432,-0.020086199886147,-0.141032782514773,4871.038049232507,4879.2729366176345,-8.234887385127877,-3.852568435865745,-4.382318949262132,44.68085106316433,0.2562702390195949,5010.225382490759,4729.774617509241,44662380.0,0.516654060979285,41.97850867806376,0.1111212593713679,4860.0,4780.0,4740.0,4900.0,4980.0,-0.067801003784282,0.4052284086241832,-0.381061005203265,1.0,-0.3153793902031599,0.2764,2.71,4.62,3.97,garch-t,,,6.514658,0.8293978,0.11983,0.0435,0.09354,0.10734,8.16,190817897545728.0,-0.212,0.41125,1.187,0.848,0.4422,16600374706176.0,37806000832512,32.88234067319411,0.4895,0.4955,-0.0007,0.4611,0.4822,0.017799999999999983,HOLD,4820,4960,4680,1.0,108.57
2026-09-21,ADMR.JK,1590.0,1595.0,1535.0,1535.0,1535.0,25188800,General,-0.0352036351929796,-0.0345911949685534,-0.0376175548589341,-0.0835820895522387,1593.5,1636.0,1589.6,1657.4664410400392,-0.0617359413202556,-0.0343482637141202,-0.0738877349233805,1592.776687676555,1606.722117191253,-13.945429514697937,2.347222498597964,-16.2926520132959,35.57692307596524,0.423192596561164,1761.84869779561,1510.15130220439,40399950.0,0.6234859201558418,33.56760498888494,-0.2518222589354794,1586.6666666666667,1573.3333333333337,1556.6666666666667,1603.3333333333337,1616.6666666666667,0.5772433399495409,0.6198288495695929,-0.411879909637613,1.0,0.8344924664546444,0.5056,5.04,8.5,7.3,garch-t,,,11.520388,4.0,0.17246,0.07883,0.27397,0.45138,3.33,62141142925312.0,0.153,1.03461,1.583,0.92,0.1498,-418899680.0,-127048000,31.76042941247152,0.4856,0.4945,-0.0009,0.4612,0.4801,0.019899999999999973,HOLD,1535,1605,1490,1.56,59.64
2026-09-21,BBRI.JK,3310.0,3310.0,3270.0,3300.0,3300.0,102594200,Financials,-0.0030257209165369,-0.0030211480362537,-0.0294117647058823,0.0377358490566037,3341.0,3312.5,3139.8,3224.516905517578,-0.0037735849056592,0.0510223581119653,0.0234091173016451,3321.114632122999,3267.5855020683616,53.529130054637335,70.89131266549023,-17.362182610852898,42.30769230655325,0.2768971544615682,3494.289351781475,3130.710648218525,184970785.0,0.5546508331031844,53.85924669312798,0.2813067219768841,3300.0,3260.0,3210.0,3350.0,3390.0,-0.038102438446754,0.3087461057317922,-0.3570253500856998,1.0,-0.3177436699017202,0.2784,2.78,4.41,3.81,garch-t,,,7.8125,1.4884784,0.18988001,0.027709998,0.41705,0.41943002,13.14,479175710343168.0,0.214,,,,0.462,,-91542496739328,33.80308847351349,0.4764,0.5005,0.0001,0.4611,0.4767,0.023299999999999987,HOLD,3300,3400,3200,1.0,73.57
2026-09-21,AADI.JK,11975.0,11975.0,11475.0,11600.0,11600.0,8216300,General,-0.0318160451846599,-0.0313152400835072,-0.0511247443762781,0.183673469387755,12155.0,11431.25,10006.0,8715.999636230468,0.0147621651175492,0.1593044173495743,0.3308857829434795,11834.791028857937,11171.154167355038,663.6368615028969,719.9544488760133,-56.31758737311645,61.24031007725353,0.4439790013161309,13150.481391915442,9712.018608084558,12608165.0,0.6516650123154321,68.60623756370519,0.1462854620997362,12058.333333333334,11666.666666666668,11358.333333333334,12366.666666666668,12758.333333333334,0.8540509289609297,0.435733877596884,-0.3340471093977656,1.0,1.8223258448811583,0.4353,4.15,7.24,6.19,garch-t,,,6.3131313,2.6051402,0.23297001,0.111099996,0.15923001,0.30947,8.98,86823846019072.0,0.421,0.25672,2.593,1.663,0.3719,-444173376.0,766888000,32.09490242358723,0.3999,0.4991,-0.0001,0.461,0.438,0.062,SELL ON STRENGTH,11600,12375,11150,1.72,450.0
